Round;Time death (s);Killer;Killer side;Killer team;Killer blinded;Victim;Victim side;Victim team;Victim_blinded;Weapon;Headshot;Crouching;Trade_kill
7;86,61;s666s;T;UCM Tedi Echo;FALSE;NepriateL;CT;UKF E-Sports ;FALSE;AK-47;FALSE;FALSE;FALSE
7;89,36;naboj1;CT;UKF E-Sports ;FALSE;Skalw0;T;UCM Tedi Echo;FALSE;AWP;FALSE;FALSE;FALSE
7;93,12;Newstartik;CT;UKF E-Sports ;FALSE;s666s;T;UCM Tedi Echo;FALSE;M4A1-S;FALSE;FALSE;FALSE
7;94,2;Addixx;T;UCM Tedi Echo;FALSE;Newstartik;CT;UKF E-Sports ;FALSE;MAC-10;FALSE;FALSE;TRUE
7;96,7;Addixx;T;UCM Tedi Echo;FALSE;naboj1;CT;UKF E-Sports ;FALSE;M4A1-S;TRUE;FALSE;FALSE
8;44,75;NepriateL;CT;UKF E-Sports ;FALSE;.Not1ce;T;UCM Tedi Echo;FALSE;M4A4;FALSE;FALSE;FALSE
8;45,27;naboj1;CT;UKF E-Sports ;TRUE;Skalw0;T;UCM Tedi Echo;TRUE;MP9;TRUE;FALSE;FALSE
8;48,91;s666s;T;UCM Tedi Echo;FALSE;naboj1;CT;UKF E-Sports ;FALSE;AK-47;FALSE;FALSE;TRUE
8;49,55;zuluuu;CT;UKF E-Sports ;FALSE;s666s;T;UCM Tedi Echo;FALSE;MP9;TRUE;FALSE;TRUE
8;82,8;NepriateL;CT;UKF E-Sports ;FALSE;Addixx;T;UCM Tedi Echo;FALSE;M4A4;FALSE;FALSE;FALSE
8;83,06;NepriateL;CT;UKF E-Sports ;FALSE;Kolardo;T;UCM Tedi Echo;FALSE;M4A4;TRUE;FALSE;FALSE
9;20,03;zuluuu;CT;UKF E-Sports ;FALSE;s666s;T;UCM Tedi Echo;FALSE;M4A1-S;FALSE;FALSE;FALSE
9;20,91;naboj1;CT;UKF E-Sports ;FALSE;.Not1ce;T;UCM Tedi Echo;FALSE;AK-47;FALSE;FALSE;FALSE
9;21,59;naboj1;CT;UKF E-Sports ;FALSE;Skalw0;T;UCM Tedi Echo;FALSE;AK-47;FALSE;FALSE;FALSE
9;22,3;naboj1;CT;UKF E-Sports ;FALSE;Kolardo;T;UCM Tedi Echo;FALSE;AK-47;FALSE;FALSE;FALSE
9;24,05;naboj1;CT;UKF E-Sports ;FALSE;Addixx;T;UCM Tedi Echo;FALSE;P2000;FALSE;FALSE;FALSE
10;77,89;Newstartik;CT;UKF E-Sports ;FALSE;Addixx;T;UCM Tedi Echo;FALSE;M4A1-S;FALSE;FALSE;FALSE
10;91,62;Newstartik;CT;UKF E-Sports ;FALSE;Kolardo;T;UCM Tedi Echo;FALSE;M4A1-S;FALSE;FALSE;FALSE
10;93,53;.Not1ce;T;UCM Tedi Echo;FALSE;NepriateL;CT;UKF E-Sports ;FALSE;P250;TRUE;FALSE;FALSE
10;93,94;Newstartik;CT;UKF E-Sports ;FALSE;Skalw0;T;UCM Tedi Echo;FALSE;M4A1-S;FALSE;FALSE;FALSE
10;95,06;Newstartik;CT;UKF E-Sports ;FALSE;.Not1ce;T;UCM Tedi Echo;FALSE;M4A1-S;FALSE;FALSE;TRUE
